"scenario","functional_form","matching_quality","simple_difference","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","cf_loop_p05","cf_ipw_rf","cf_aipw_rf","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_DeltaX1","mean_DeltaX2","mean_DeltaX3","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","mean_e_hat_cf","sd_e_hat_cf","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"aligned","linear","bad",0.421443377068089,0.205706546408613,0.101718794232192,0.277785838143011,0.231205137031773,0.0709474095051118,-0.814941332598879,-0.443098671083877,0,0.421443377068089,0.215736830659476,0.567617187336166,-0.105872422184885,0.125967705515972,1.24988759911515,1.15328297432258,0.12955085825715,0.626152350419777,0.421421522107418,0.487425070359803,-0.0493060176853136,0.00426428394752199,0.48943661971831,0.400046948356807,0.236706693062414,284,716,0.284,568,284,432,432,1
"aligned","linear","good",0.481654113614728,0.419010355406159,0.388349405542982,0.431537188932175,0.42899854778224,0.168361779165468,-1.8642575248119,-0.694966377689503,0,0.481654113614728,0.0626437582085689,0.218249209033169,0.226920659708848,0.24106247069155,1.05989476679718,1.11569510603989,0.343180339045711,0.438418268787407,0.193668294608718,0.261516491835595,-0.0161106377471165,-0.07303806675752,0.513833992094862,0.3666534914361,0.254756899678655,253,747,0.253,506,253,494,494,1
"aligned","nonlinear","bad",1.64591503451245,1.21667089480191,0.733917180704503,0.965361008914589,0.873767383274868,0.58959996549387,-0.848716002928705,-0.0942606489623571,0,1.64591503451245,0.429244139710535,0.720841990597284,0.0702305494999394,0.241761954196113,1.21590347637482,1.06754291650088,0.253328657372301,0.75970684848238,0.535300246771822,0.591880093642445,0.00981718279505478,0.412666669705644,0.49290780141844,0.389946808510638,0.286419367368909,282,718,0.282,564,282,436,436,1
"aligned","nonlinear","good",1.10747198566978,1.01999451732927,0.921412959781453,1.13498359678435,1.10128997168,0.159238827826703,-1.52184265114592,-0.679763270373462,0,1.10747198566978,0.0874774683405019,0.436916711791237,0.0539138214907838,0.432233526214688,0.786835623898292,1.04168807251472,0.716560882690961,0.292115043695686,-0.0759299380374762,0.0700341881186732,-0.0340319837417412,0.0304041179777867,0.461267605633803,0.439653755868545,0.288624993817617,284,716,0.284,568,284,432,432,1
"opposite","linear","bad",-0.164152924612224,-0.0250245477433392,-0.0208934828530916,-0.102314137303081,-0.0779812943293068,-0.0384444028581005,-0.817469482993901,-0.779462243574521,0,-0.164152924612224,-0.139128376868885,0.598183769354253,0.0388996453868229,0.166165647302236,1.23365804031223,1.20679722368521,0.167404056706312,0.450862355358601,0.339030995211994,-0.496523126334255,0.0421208330694086,0.109937108513067,0.447488584474886,0.347191780821918,0.235564365526815,219,781,0.219,438,219,562,562,1
"opposite","linear","good",0.281277793641175,0.22357873495575,0.229115044350232,0.233103548839907,0.227844255213763,0.175835156666649,-0.205728548226387,-0.0233030928009843,0,0.281277793641175,0.0576990586854252,0.209734845013136,-0.111842860047841,0.276086917806398,0.791554847505985,1.16295753531199,0.532955283950007,0.474181054363017,0.458502886488872,-0.519736273781281,-0.0373405986028615,0.562643600689498,0.516363636363636,0.392224242424242,0.249186740805652,275,725,0.275,550,275,450,450,1
"opposite","nonlinear","bad",-1.12680502942215,-0.585745062456715,-0.174875778743818,-0.269114666516174,-0.238365231991535,-0.419361729810719,-1.12024995941704,-0.524164117262731,0,-1.12680502942215,-0.541059966965431,0.829568251672811,-0.0534894672791113,0.22689483125002,1.30955499180037,1.00911344124706,0.227714448391048,0.832446486235634,0.660626357689524,-0.677943705491504,-0.0580329530441311,-0.333389042146368,0.525547445255474,0.369312652068127,0.283520843387364,274,726,0.274,548,274,452,452,1
"opposite","nonlinear","good",-0.25201674638301,-0.61022567043768,-0.438042995453,-0.642618262732827,-0.599696543016882,-0.00830520571659097,-0.503565313602773,0.00351661834594313,0,-0.25201674638301,0.358208924054669,0.463540693309728,0.130049938772641,0.561569866892995,0.841334910342168,1.19572617779649,0.842141320435664,0.925236766846221,0.654190708029776,-0.500197522024298,-0.140460424555301,0.622493573667152,0.488215488215488,0.43479797979798,0.303558321337881,297,703,0.297,594,297,406,406,1
"unrelated","linear","bad",0.293553087883653,0.35565961762416,0.432418509605724,0.36418300129849,0.377774613917089,0.236756145100609,-0.493392607935643,-0.192499326233938,0,0.293553087883653,-0.0621065297405072,0.435716018724883,-0.00781639876809734,0.142448878913012,1.16188836522665,1.22804147952557,0.143215525723263,0.652289838261615,0.451748628518183,0.0329439711603002,0.499098023229004,0.0473986886962144,0.480851063829787,0.341744680851064,0.246247326114239,235,765,0.235,470,235,530,530,1
"unrelated","linear","good",0.203331511004065,0.254351786609836,0.176671182314057,0.215651104408987,0.209872315900372,0.0934730440823111,-0.740546357671965,-0.367732033919923,0,0.203331511004065,-0.0510202756057716,0.100086834513651,-0.125418263161146,0.199573387695456,0.890978569757644,1.13891396475469,0.49065555298164,0.562730064608874,0.358448438164678,-0.251899156917651,0.340510680488765,0.301222858455622,0.48,0.35636,0.235428505794134,250,750,0.25,500,250,500,500,1
