"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"aligned",0.316316846989969,-0.216622335465198,0.0443814357824508,-0.0940148737408703,0.0819805956906685,0.0385972080088608,0,0.316316846989969,0.271935411207518,1.13231942532166,1.12465672831367,0.0768040656572072,0.602505231352445,0.321424673977144,0.442049730709697,-0.0433500059992625,-0.0195000035418535,0.526041666666667,192,808,0.192,384,192,616,616,1
"unrelated",0.354247034732642,0.0515640780035159,0.290117075565326,0.294043065634817,0.321208004651553,0.308031659609482,0,0.354247034732642,0.0641299591673169,1.13747663069538,1.06519254299001,0.0550117625994289,0.534825482300543,0.39615745788241,0.0504894813408201,0.456656757526556,0.144406539081506,0.541871921182266,203,797,0.203,406,203,594,594,1
"opposite",-0.113805301824489,-0.620685701586235,0.163985267481088,0.00653147321859975,0.0645609376919562,0.0575352150678677,0,-0.113805301824489,-0.277790569305577,1.23536922554829,1.22995617668577,0.133862501311089,0.677889513454057,0.320123996254846,-0.383553454620145,0.0145586067803881,0.116092809861975,0.526881720430108,186,814,0.186,372,186,628,628,1
"aligned",0.42859137902509,-0.131840764491369,0.27053400364452,0.100196033698331,0.170396882187848,0.128018824961604,0,0.42859137902509,0.15805737538057,1.24857721536183,1.25199410838264,0.0539882875925201,0.528725191159707,0.342563140243209,0.527948635764381,0.0162026682030863,0.0718688518805767,0.5,194,806,0.194,388,194,612,612,2
"unrelated",0.363475067602053,-0.221229753044561,0.286785032158023,0.193159533775199,0.254780734919732,0.220579081412419,0,0.363475067602053,0.07669003544403,1.18806131823964,1.04849368667923,0.127054075166687,0.600440243243001,0.388768731234479,0.0253344714668767,0.410066942939894,0.0860411033676862,0.44375,160,840,0.16,320,160,680,680,2
"opposite",-0.16878935676851,-0.796378581297258,0.0280876136464761,0.0908664417582863,0.113393355056616,0.108425684809537,0,-0.16878935676851,-0.196876970414987,1.27394985419513,1.35250947751168,0.170370745477666,0.543852933907204,0.357464515219227,-0.439824446773439,-0.087496187471348,0.15823694264577,0.492063492063492,189,811,0.189,378,189,622,622,2
"aligned",0.123007770242059,-0.168024688505861,0.0203260563014946,0.0168050193109983,-0.0013874550276247,0.00240004570376905,0,0.123007770242059,0.102681713940564,1.11361237470505,1.11399056054417,0.122851164589039,0.552106868975389,0.31173099513306,0.39669452841079,-0.0706730715263834,0.0582561083894537,0.532051282051282,156,844,0.156,312,156,688,688,3
"unrelated",0.00998345836134439,-0.511904859757332,-0.0566263904579361,-0.175939391908947,-0.0304140777461401,-0.114549826506883,0,0.00998345836134439,0.0666098488192805,1.28877512879652,1.15651614629397,0.0574011376612117,0.613019573031572,0.268506372034754,-0.0220302953480456,0.281695534185504,0.188412050294604,0.425925925925926,162,838,0.162,324,162,676,676,3
"opposite",-0.282631855827852,-0.989993724558934,0.0941304062878396,0.0329489851094748,0.0786279166810575,0.0626499108507819,0,-0.282631855827852,-0.376762262115692,1.25813985946439,1.16021416454818,0.0563381432708721,0.651002671405445,0.433554784208151,-0.494302358600447,0.0793386937829571,0.0436540242150541,0.53125,160,840,0.16,320,160,680,680,3
"aligned",0.422022229386836,-0.114958440196409,0.185136149988672,0.1500238928766,0.213321227522025,0.197601698560257,0,0.422022229386836,0.236886079398164,1.17719601568959,1.09722255249621,0.110189500920724,0.641820799681588,0.361650774984377,0.431113603460176,0.106216980874778,0.114453481258776,0.489010989010989,182,818,0.182,364,182,636,636,4
